GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mini-projet,entite,Transaction,0,50,0,0,0,21,0,11,0,11
mini-projet,entite,Compte,0,113,0,6,0,37,0,21,0,18
mini-projet,entite,Authentification,10,47,1,3,5,15,4,9,3,8
mini-projet,entite,Client,0,67,0,0,0,29,0,16,0,16
mini-projet,controller,TransactionController,0,36,0,0,0,12,0,3,0,3
mini-projet,controller,CompteController,113,191,12,16,46,48,16,11,5,8
mini-projet,controller,ClientController,63,237,19,21,24,54,20,9,1,8
mini-projet,controller,AuthentificationController,48,121,7,7,21,33,7,9,0,9
mini-projet,dao,TransactionDAO,1,128,1,3,0,31,1,4,0,3
mini-projet,dao,CompteDAO,107,454,19,23,27,109,17,17,2,11
mini-projet,dao,AuthentificationDAO,0,304,8,20,0,74,8,17,0,11
mini-projet,dao,DbSingleton,29,41,2,2,14,15,2,4,1,3
mini-projet,dao,ClientDAO,261,404,49,19,56,100,37,5,3,5
